item_id,ctr,count
N2,0.02134927412467976,3513
N5,0.0,5
N6,0.0,4
N8,0.0,1
N14,0.0,5
N15,0.5,2
N18,0.0,2
N21,0.006566946369937978,2741
N23,0.0,2
N24,0.125,8
N25,0.0,4
N30,0.0,5
N33,0.03125,2528
N38,0.0,19
N43,0.027777777777777776,180
N46,0.0,2
N49,0.5,2
N50,0.10526315789473684,19
N53,0.0,2
N55,0.0,3
N56,0.0,14
N57,0.0,11
N61,0.0,6
N63,0.0,5
N68,0.0,2
N69,0.0,16
N78,0.0,1
N83,0.04157549234135667,457
N84,0.0,1
N86,0.007633587786259542,393
N90,0.0,1
N94,0.3333333333333333,3
N95,0.1,10
N101,0.007874015748031496,127
N103,0.017804154302670624,2359
N107,0.0,9
N111,0.0,1
N112,0.09090909090909091,11
N115,0.0,6
N123,0.0111731843575419,179
N125,0.12,25
N130,0.018838304552590265,637
N131,0.0,1
N133,0.0,38
N134,0.0,2
N136,0.0,7
N138,0.09090909090909091,11
N141,0.0,15
N142,0.0,3
N148,0.0,1
N154,0.025067750677506776,8856
N159,0.043478260869565216,92
N161,0.0,13
N166,0.03496503496503497,2574
N169,0.0,4
N170,0.0,4
N177,0.0,1
N179,0.07777777777777778,90
N185,0.0,2
N186,0.0,2
N189,0.07142857142857142,14
N190,0.0,6
N191,0.0,8
N195,0.025510204081632654,980
N197,0.045454545454545456,44
N203,0.0,2
N204,0.0,2
N206,0.0,3
N208,0.0,1
N209,0.01820830298616169,1373
N210,0.0,2
N218,0.0,2
N225,0.0,11
N226,0.5,2
N229,0.0,5
N232,0.0,6
N234,0.0,2
N235,0.0,10
N237,0.0,2
N240,0.16666666666666666,6
N241,0.023064250411861616,607
N247,0.024667931688804556,527
N259,0.16666666666666666,12
N260,0.0,3
N261,0.01819720694033009,2363
N262,0.0,3
N266,0.0,1
N268,0.0,2
N269,0.0,3
N279,0.019953952417498082,5212
N280,0.0,1
N284,0.0,5
N287,0.21239644675117278,10019
N288,0.03360433604336043,1845
N291,0.005494505494505495,546
N292,0.0,8
N294,0.05555555555555555,18
N296,0.0,32
N297,0.0,2
N301,0.0,5
N302,0.0,5
N305,0.033532934131736525,835
N309,0.0,7
N313,0.08602150537634409,93
N315,0.0,6
N316,0.125,16
N325,0.0,1
N328,0.014084507042253521,284
N331,0.0,5
N332,0.0,1
N333,0.03663003663003663,273
N340,0.25,4
N342,0.0,13
N344,0.11538461538461539,26
N348,0.0,54
N349,0.024312896405919663,1892
N350,0.1295577967416602,1289
N351,0.14285714285714285,7
N352,0.0,49
N355,0.0,1
N357,0.009009009009009009,999
N366,0.04719101123595506,890
N368,0.07692307692307693,13
N369,0.0,8
N373,0.014492753623188406,276
N376,0.07692307692307693,13
N379,0.007547169811320755,530
N382,0.015151515151515152,66
N386,0.0,6
N387,0.0,3
N393,0.0,20
N396,0.0,2
N397,0.012216404886561954,573
N398,0.0,24
N406,0.0,2
N409,0.02857142857142857,140
N413,0.0038910505836575876,257
N421,0.16666666666666666,6
N425,0.0,8
N428,0.07692307692307693,13
N432,0.0,5
N436,0.0,1
N438,0.0,10
N439,0.0,7
N443,0.2,5
N452,0.0,8
N453,0.13464140730717186,1478
N456,0.0,6
N462,0.0,1
N463,0.0,1
N465,0.0,4
N466,0.07692307692307693,13
N469,0.0,5
N475,0.058823529411764705,51
N476,0.0,1
N483,0.0,62
N484,0.0,2
N486,0.0,21
N488,0.0,16
N492,0.0,12
N496,0.03435274403016338,4774
N499,0.0,115
N503,0.1111111111111111,27
N505,0.0,11
N509,0.0915032679738562,153
N510,0.04776119402985075,335
N521,0.0,1
N528,0.25,4
N533,0.0,2
N535,0.0,3
N536,0.0,3
N539,0.0,16
N542,0.0,3
N547,0.0,28
N549,0.0,3
N555,0.015306122448979591,1372
N556,0.0,1
N559,0.0,6
N560,0.0,3
N561,0.0,9
N565,0.0,3
N567,0.0,1
N568,0.0,13
N569,0.0,9
N571,0.5,4
N578,0.00980392156862745,102
N583,0.0,2
N585,0.0,32
N586,0.0,1
N589,0.0,5
N590,0.0,1
N594,0.125,16
N595,0.0,1
N597,0.0,12
N603,0.0,8
N604,0.0,4
N606,0.0,4
N610,0.0,1
N612,0.0,1
N613,0.14285714285714285,14
N614,0.013136288998357963,1218
N615,0.02,50
N616,0.0,2
N618,0.0,1
N623,0.0,1
N625,0.10714285714285714,56
N633,0.03571428571428571,56
N634,0.05263157894736842,19
N635,0.0,13
N636,0.008333333333333333,240
N638,0.0,15
N641,0.0,4
